Date,Arrival tourism in Taiwan (person),Domestic GDP of Taiwan(millions),Tourism attractions # in Taiwan (sum),CPI of Taiwan (2011 as 100),Average exchange rate of Taiwan (US dollars),GNI of Taiwan (millions),NI of Taiwan (millions),National park # of Taiwan,National scenic area # of Taiwan,Government-owned recreational area # of Taiwan,Privately-owned recreational area # of Taiwan,International port inward & outward per ship,International Tourist Hotels room rate ($) in Taipei,Tourist Hotels room rate ($) in Taipei,Aircraft Movement daily average per plane,exchange rate 10 day buy in (NT$),exchange rate 10 day sell out (NT$),WTI oil price dollars per barrel (US$),Hong Kong CPI,Japan GDP,Japan population,Public expenditure total (NT$),Budget (NT$),National defence expenditure (NT$),Education & science & culture expenditure (NT$),Economy expediture (NT$),Social welfare (NT$),Community development & environment protection expediture (NT$),Retirement expenditure (NT$),Debt expenditure (NT$),Subsidy expenditure (NT$),Treatment adjustment expenditure (NT$),Other expenditure (NT$),Before budget (NT$),Special budget expenditure (NT$),Out of budget expenditure (NT$),Catering revenue (NT$),Restaurant revenue (NT$),Drinking revenue (NT$),Other catering revenue (NT$),International airline people,Hotel #,Hotel room #,Tourism hotel #,Tourism hotel room #,Train carrying #,Average train carrying daily people,Usage percentage of train,Train on-time rate,Train revenue (NT$),Composite retail revenue (NT$),Department revenue (NT$),Supermarket revenue (NT$),Convinent store revenue (NT$),Retail mall revenue (NT$),Other retail revenue (NT$),Food & drink retail revenue (NT$),Clothe retail revenue (NT$),Furniture trtail revenue (NT$),Drug & cosmetic retail revenue (NT$),Recreational retail revenue (NT$),Building material retail revenue (NT$),Fuel retail revenue (NT$),Technology retail revenue (NT$),Vehicle retail revenue (NT$),Other special retail revenue (NT$),No-storefront retail revenue (NT$),Two coast plane,Transit people,Intra-nation plane people
01/02/2002,233896,2593621,252,90.36,35.04,2660384,2293439,32,65,50,50,4756,3438,1993,?,35.066,35.191,20.72,75780,19783,40706,-0.7,122060.4,127445000,33307678,9673079,28003975,4126327,3702750,8389169,2039924,0,1037030,17095304,1158924,-1792809,23024388,18996053,2970180,1058156,1678288,83,20479,83,20479,14630,522498,63.1,93.19,1282936,"57,228,722 ","16,782,597 ","7,572,813 ","11,393,127 ","12,057,007 ","9,423,177 ","22,660,510 ","20,668,708 ","15,643,337 ","7,910,563 ","7,717,215 ","2,642,630 ","12,868,955 ","19,781,720 ","26,540,310 ","3,829,129 ","5,735,433 ",0,154060,1855565
01/03/2002,281522,2593621,252,88.87,35.04,2660384,2293439,32,65,50,50,6272,3438,1993,?,34.948,35.083,24.53,96509,20411,47649,+0.2,122060.4,127445000,41634957,19885021,22285256,3740613,4531991,12449699,5401750,0,1129954,12633245,2493746,25851066,21984077,17811402,3057965,1114710,1666170,84,20939,84,20939,15222,491041,65.19,92.67,1345098,"52,540,153 ","13,799,466 ","6,747,446 ","11,829,008 ","10,396,947 ","9,767,286 ","24,226,795 ","19,733,184 ","16,864,891 ","8,784,870 ","8,092,792 ","2,942,930 ","14,270,664 ","21,589,149 ","32,731,715 ","4,108,059 ","6,816,209 ",0,213333,1913749
01/04/2002,245759,2598101,252,89.78,34.45,2652820,2304496,32,65,50,50,6287,3438,1993,?,34.661,34.787,26.18,77016,20459,33226,-0.1,123498.8,127445000,38732526,14262794,28637809,4695633,7331335,9251900,1707657,0,1337173,24122760,5112750,4413461,20756178,16731872,2924725,1099581,1744975,84,20928,84,20928,14638,487943,63.72,92.74,1278447,"50,111,866 ","12,458,441 ","6,798,511 ","12,042,613 ","9,696,181 ","9,116,121 ","23,807,431 ","19,969,815 ","16,995,086 ","8,815,007 ","7,853,143 ","2,845,495 ","14,281,440 ","21,893,062 ","33,141,876 ","4,171,650 ","6,678,302 ",0,193510,2054111
01/05/2002,243941,2598101,252,89.34,34.45,2652820,2304496,32,65,50,50,6598,3438,1993,?,34.078,34.221,27.04,77518,18162,37240,-0.1,123498.8,127445000,43218142,20683306,22239660,5947883,4850936,17690893,5456372,0,629934,18679319,7644616,14206296,21728216,17819869,2831478,1076869,1702321,84,20928,84,20928,14634,472055,61.97,93.85,1275234,"53,474,393 ","13,703,086 ","7,068,583 ","12,889,140 ","10,161,369 ","9,652,215 ","24,701,063 ","19,774,784 ","17,262,221 ","9,265,791 ","7,843,389 ","2,853,424 ","14,897,550 ","22,045,892 ","33,284,358 ","4,366,574 ","6,581,995 ",0,203313,1997155
01/06/2002,241378,2598101,252,89.61,34.45,2652820,2304496,32,65,50,50,6232,3438,1993,?,33.47,33.606,25.52,73144,19980,31984,-0.3,123498.8,127445000,36473836,24922621,26779246,5242324,42882716,8910088,2078859,0,699489,13055118,4810348,9265824,22564970,18520246,2921516,1123207,1650804,84,20928,84,20928,13580,452666,62.77,93.95,1282528,"52,846,187 ","13,105,178 ","7,322,027 ","13,267,258 ","10,253,164 ","8,898,561 ","24,240,169 ","18,894,194 ","16,835,429 ","8,718,852 ","7,784,212 ","2,893,323 ","14,707,271 ","21,555,598 ","31,765,357 ","4,130,372 ","6,785,338 ",0,186436,1789586
01/07/2002,234596,2673352,252,89.62,33.99,2729723,2384684,32,65,50,50,6343,3438,1993,?,33.712,33.858,26.97,73287,20119,35163,-0.1,122145.6,127445000,43448978,29496724,48839936,4542661,18718503,11294762,2125061,0,512930,12140666,7985776,5754991,22496846,18329455,2994636,1172756,1888807,84,20928,84,20928,14729,475117,68.44,92.68,1420887,"55,965,803 ","14,388,345 ","7,582,390 ","13,926,007 ","10,752,117 ","9,316,944 ","23,643,247 ","19,571,808 ","17,207,787 ","8,521,176 ","8,014,636 ","2,989,552 ","15,151,190 ","22,021,319 ","35,153,813 ","4,310,133 ","6,919,568 ",0,204052,1906690
01/08/2002,246079,2673352,252,89.59,33.99,2729723,2384684,32,65,50,50,6590,3438,1993,?,34.178,34.323,28.39,82874,20995,43837,-0.2,122145.6,127445000,40152352,32484296,27789778,5314371,2492958,12238968,4790177,0,1069716,11443752,4183073,11333418,22314321,18156248,2993184,1164888,1908300,84,20928,84,20928,14927,481502,67.53,92.93,1415853,"59,447,235 ","15,462,209 ","8,364,350 ","13,784,055 ","12,764,258 ","9,072,363 ","24,804,802 ","19,334,079 ","17,108,677 ","8,711,737 ","7,918,116 ","3,014,159 ","15,250,427 ","21,859,589 ","28,020,207 ","4,501,084 ","6,864,509 ",0,205363,1906879
01/09/2002,233613,2673352,252,89.53,33.99,2729723,2384684,32,65,50,50,6119,3438,1993,?,34.882,35.021,29.66,88200,18717,32863,-0.3,122145.6,127445000,40499417,21708825,18656285,4865703,4403704,17453137,2689802,0,731344,10660308,2644635,870885,20891371,16912866,2838554,1139950,1598051,85,21268,85,21268,14313,477116,64.15,92.85,1250407,"54,018,218 ","13,317,035 ","7,950,186 ","12,770,434 ","11,390,237 ","8,590,327 ","23,476,859 ","18,875,036 ","16,855,006 ","8,452,264 ","8,248,600 ","3,098,156 ","15,823,525 ","21,346,232 ","34,641,429 ","4,284,005 ","7,145,975 ",0,170292,1670546
01/10/2002,258360,2815809,252,90.03,34.84,2880458,2521788,32,65,50,50,6331,3438,1993,?,34.711,34.848,28.84,88735,17611,39078,-0.2,131442.2,127445000,45649542,25033334,18780062,4999897,2389686,1269775,2114707,0,2388393,11142331,7840247,461460,20900388,17011178,2788582,1100627,1686541,85,21268,85,21268,15014,484332,60.78,93.85,1260652,"55,294,655 ","14,751,663 ","7,409,215 ","12,938,727 ","11,096,792 ","9,098,258 ","23,963,622 ","19,170,353 ","17,486,317 ","8,588,559 ","7,902,971 ","3,077,730 ","15,608,106 ","22,123,669 ","33,374,329 ","4,439,209 ","7,402,456 ",0,158101,1760024
01/11/2002,255645,2815809,252,90,34.84,2880458,2521788,32,65,50,50,5913,3438,1993,?,34.759,34.897,26.35,94005,18718,38358,-0.2,131442.2,127445000,40027566,25041429,19253411,4844705,3647361,1482150,5030864,0,1897971,11290958,11002468,-11689,20962789,17251745,2674333,1036711,1517721,87,21763,87,21763,14421,480703,60.67,94.47,1233454,"56,409,252 ","18,355,513 ","7,085,801 ","11,995,946 ","10,397,984 ","8,574,007 ","22,583,051 ","20,035,581 ","16,991,847 ","8,704,973 ","8,066,423 ","3,093,410 ","15,779,237 ","21,556,739 ","33,712,775 ","4,313,191 ","7,254,747 ",0,166356,1720122
01/12/2002,285303,2815809,252,89.61,34.84,2880458,2521788,32,65,50,50,6131,3438,1993,?,34.688,34.826,29.46,96391,20721,48385,-0.1,131442.2,127445000,32879716,94719606,24300229,8106731,11013032,16602089,2997226,0,3819991,23319330,16083673,53001735,21625266,17718460,2822976,1083830,1555048,87,21763,87,21763,14940,481927,60.25,92.85,1318403,"57,801,322 ","16,792,529 ","7,552,355 ","12,532,409 ","11,779,166 ","9,144,864 ","23,110,182 ","20,731,282 ","17,645,019 ","8,808,553 ","8,439,567 ","3,216,108 ","16,317,591 ","22,740,108 ","36,773,467 ","4,436,581 ","7,435,560 ",0,192902,1704053
01/01/2003,238031,2665146,279,90.25,34.71,2779160,2419124,34,75,59,52,6211,3177,1866,?,34.615,34.772,32.95,86792,20391,30781,-0.1,120922.1,127718000,85843364,23494475,47768385,5867543,64928968,21913358,10975604,0,719505,5054108,44478228,9125766,22816829,19059751,2713068,1044010,1596411,86,21713,86,21713,13829,446108,61.77,94.92,1314643,"62,126,259 ","17,790,927 ","8,260,936 ","12,554,077 ","13,170,628 ","10,349,691 ","24,856,066 ","21,567,185 ","17,355,685 ","9,231,501 ","7,889,928 ","3,127,348 ","16,640,001 ","22,412,512 ","36,869,099 ","4,546,547 ","7,105,416 ",0,203560,1666206
01/02/2003,259966,2665146,279,88.99,34.71,2779160,2419124,34,75,59,52,5112,3177,1866,?,34.69,34.818,35.83,90442,20669,44667,-0.1,120922.1,127718000,26036826,10923749,19056952,2141153,2646710,7751458,38717,0,965222,5156212,893004,3631596,21201066,17606381,2651612,943073,1616140,86,21648,86,21648,14778,527791,63.01,94.15,1267171,"54,474,743 ","15,635,660 ","6,861,638 ","12,149,862 ","10,060,076 ","9,767,507 ","21,995,761 ","19,734,218 ","15,530,310 ","8,380,567 ","7,318,800 ","2,779,625 ","14,674,753 ","19,691,242 ","26,680,205 ","4,024,546 ","6,345,709 ",0,160045,1688690
01/03/2003,258128,2665146,279,88.71,34.71,2779160,2419124,34,75,59,52,6291,3177,1866,?,34.68,34.819,33.51,96960,22179,36111,0.0,120922.1,127718000,35105358,16749423,21709627,4565124,6347266,15566492,2622868,0,1614218,12152098,1900287,10643730,20923482,17318085,2594017,1011380,1470728,86,21648,86,21648,14779,476746,59.76,94.43,1253387,"54,195,271 ","13,540,655 ","7,264,134 ","12,440,206 ","10,744,455 ","10,205,821 ","24,154,095 ","19,282,115 ","16,548,419 ","9,651,099 ","7,611,160 ","3,075,747 ","15,745,022 ","21,328,871 ","34,930,517 ","4,432,434 ","7,232,622 ",0,172807,1642695
01/04/2003,110640,2582176,279,89.68,34.72,2665296,2307746,34,75,59,52,6336,3177,1866,?,34.772,34.906,28.17,33558,14132,14450,-0.1,124221.9,127718000,37944200,18898293,24033267,7150973,7921017,11707978,1853600,0,1008683,13238161,3309210,-9629002,18986029,15508664,2490536,986830,701187,85,21583,85,21583,13431,447713,54.29,94.35,1119488,"53,272,653 ","12,670,872 ","7,313,880 ","12,793,842 ","10,211,716 ","10,282,342 ","25,030,613 ","18,623,731 ","16,598,969 ","10,433,821 ","7,555,756 ","2,918,814 ","15,203,334 ","21,307,447 ","32,904,280 ","4,209,160 ","6,924,717 ",0,112689,1432181
01/05/2003,40256,2582176,279,89.63,34.72,2665296,2307746,34,75,59,52,6583,3177,1866,?,34.642,34.785,28.11,7615,5631,804,-0.3,124221.9,127718000,38235470,25189804,23614397,5019130,4137186,6964233,4962426,0,3594415,13560434,7384467,3362962,17922641,14820393,2262127,840121,302865,86,21699,86,21699,9512,306843,33.05,95.37,686764,"51,196,420 ","10,677,831 ","8,173,864 ","13,581,939 ","9,574,351 ","9,188,434 ","25,615,500 ","16,951,059 ","17,425,885 ","10,925,298 ","6,815,292 ","2,923,702 ","14,557,488 ","22,164,933 ","29,966,299 ","4,165,733 ","7,290,846 ",0,76909,904543
01/06/2003,57131,2582176,279,89.11,34.72,2665296,2307746,34,75,59,52,6147,3177,1866,?,34.537,34.685,30.66,8472,8614,2591,-0.6,124221.9,127718000,39445901,25478544,40415255,3738615,41163258,7233817,2336198,0,-2667085,12508929,17249384,3329928,21156300,17594295,2589573,972432,553120,86,21699,86,21699,10777,359239,47.61,94.63,949101,"54,411,631 ","12,906,161 ","7,728,662 ","13,875,554 ","10,628,184 ","9,273,071 ","25,591,859 ","17,230,543 ","18,082,430 ","10,460,232 ","7,319,649 ","2,925,819 ","14,728,151 ","23,387,286 ","34,065,833 ","4,391,707 ","6,797,337 ",0,100502,1421423
01/07/2003,154174,2763554,279,88.74,34.25,2816473,2462302,34,75,59,52,6739,3177,1866,?,34.334,34.485,30.75,34414,17386,25538,-0.9,122298.9,127718000,45847646,33504867,21458580,5438914,20504697,10806002,2028980,0,697377,10837022,7174317,6120514,23583190,19737997,2842589,1002604,1556097,86,21699,86,21699,13622,439408,62.36,95.02,1295718,"60,171,204 ","14,976,409 ","8,011,830 ","15,117,151 ","11,898,375 ","10,167,439 ","26,794,658 ","18,693,841 ","19,112,604 ","9,946,688 ","8,153,304 ","2,974,274 ","15,684,074 ","24,329,542 ","37,094,335 ","4,294,118 ","7,075,796 ",0,170413,2094681
01/08/2003,200614,2763554,279,89.07,34.25,2816473,2462302,34,75,59,52,6518,3177,1866,?,34.141,34.277,31.57,48488,19507,35717,-0.6,122298.9,127718000,44703472,25513455,47649851,5716550,6359809,17488878,4732650,0,974137,8702150,6458470,22937454,24681766,20709605,2905174,1066987,1796031,86,21699,86,21699,13987,451195,63.61,94.15,1373262,"61,326,493 ","15,090,543 ","8,492,615 ","14,935,709 ","12,185,273 ","10,622,352 ","26,359,751 ","18,543,097 ","19,192,666 ","9,650,875 ","8,544,347 ","3,086,877 ","16,018,615 ","24,082,269 ","28,321,236 ","4,345,191 ","7,276,112 ",0,201526,2023051
01/09/2003,218594,2763554,279,89.34,34.25,2816473,2462302,34,75,59,52,6427,3177,1866,?,33.689,33.828,28.31,59157,20192,31267,-0.3,122298.9,127718000,44380066,24991768,22055004,5670649,2846279,17018415,1841153,0,868800,6536364,5538721,12701460,22261705,18569174,2646978,1045553,1593975,86,21699,86,21699,14235,474516,61.78,93.65,1267152,"56,565,036 ","12,552,628 ","8,209,495 ","14,420,235 ","11,525,188 ","9,857,490 ","26,371,102 ","17,663,967 ","18,897,995 ","9,692,449 ","8,673,543 ","2,989,949 ","16,101,455 ","24,247,649 ","34,957,016 ","4,401,283 ","7,569,878 ",0,167322,1842157
01/10/2003,223552,2954990,279,89.98,34,3033810,2695921,34,75,59,52,6820,3177,1866,?,33.892,34.031,30.34,58099,20302,31191,+0.3,131411.8,127718000,44450788,30581410,19625978,5940495,2446163,9530932,1813499,0,1849363,7300102,5171479,12039641,22417765,18598702,2705615,1113447,1685006,86,21699,86,21699,14476,466971,59.95,93.12,1274290,"59,264,511 ","16,223,653 ","7,582,528 ","14,270,598 ","11,116,586 ","10,071,145 ","25,348,170 ","18,863,478 ","18,933,369 ","10,160,950 ","8,847,169 ","3,169,025 ","16,038,942 ","23,847,262 ","37,718,285 ","4,488,085 ","7,826,428 ",0,166479,1875698
01/11/2003,241349,2954990,279,89.58,34,3033810,2695921,34,75,59,52,6189,3177,1866,?,34.126,34.265,31.11,65781,22175,30801,+0.3,131411.8,127718000,45486042,30983442,19320526,5511889,2337801,15295680,4270342,0,1071562,9227252,3525548,13332032,22645862,19039978,2565477,1040407,1538006,86,21699,86,21699,13860,462014,58.44,92.67,1206351,"60,889,069 ","19,273,523 ","7,518,168 ","13,581,596 ","10,812,591 ","9,703,191 ","24,892,880 ","19,536,877 ","19,192,298 ","10,408,361 ","8,296,040 ","3,141,475 ","16,280,781 ","24,069,328 ","37,046,703 ","4,334,665 ","7,320,227 ",0,181074,1715187
01/12/2003,245682,2954990,279,89.56,34,3033810,2695921,34,75,59,52,6547,3177,1866,?,33.905,34.042,32.13,67275,21685,39260,+0.3,131411.8,127718000,44123199,61944310,26671786,12895227,7811973,17546127,2162115,0,3018763,18070546,26259819,55673679,24838029,21035155,2687882,1114992,1503609,87,21896,87,21896,14138,456065,57.99,94.37,1225207,"61,868,024 ","18,859,082 ","7,617,893 ","13,414,289 ","11,606,599 ","10,370,162 ","25,287,372 ","21,095,499 ","20,606,617 ","10,567,335 ","8,925,624 ","3,572,943 ","16,989,268 ","26,671,613 ","35,445,736 ","4,565,870 ","8,764,712 ",0,200685,1745695
01/01/2004,212854,2822220,285,90.26,33.41,2939172,2563023,34,75,65,47,6351,3411,1848,?,33.322,33.455,34.31,53350,21783,31953,+0.1,123956.5,127761000,83072546,24060601,30833671,5250017,67433889,21804937,10564170,0,392524,4349894,84865423,7903264,27182811,23392917,2771181,1018714,1721507,87,21896,87,21896,13532,436530,59.44,94.44,1352588,"66,877,983 ","21,656,841 ","8,391,995 ","14,629,600 ","11,127,764 ","11,071,783 ","25,816,162 ","22,586,714 ","20,169,445 ","10,032,435 ","8,730,841 ","3,438,093 ","18,007,639 ","25,599,778 ","44,874,775 ","4,316,876 ","7,859,188 ",0,194271,1884253
01/02/2004,221020,2822220,285,89.56,33.41,2939172,2563023,34,75,65,47,6494,3411,1848,?,33.286,33.42,34.68,61006,21178,29326,+0.1,123956.5,127761000,33937511,12353415,46964127,3028065,2330717,11454246,-6629,0,1846167,5401140,2046582,3084983,22953392,19157726,2748674,1046992,1383675,87,21877,87,21877,13935,480523,58.97,95.05,1173323,"57,228,491 ","15,764,261 ","7,337,205 ","13,640,755 ","10,457,868 ","10,028,402 ","23,729,346 ","19,743,391 ","18,757,867 ","10,079,197 ","7,999,541 ","3,118,666 ","16,604,866 ","24,221,867 ","31,677,223 ","4,371,140 ","7,991,252 ",0,180937,1531567
01/03/2004,239575,2822220,285,89.5,33.41,2939172,2563023,34,75,65,47,7127,3411,1848,?,32.944,33.07,36.74,67512,17969,31493,0.0,123956.5,127761000,37220109,19084482,19921111,5014609,7384552,11796076,2320216,0,1528017,17120850,11212137,8470419,21729085,17959227,2625776,1144082,1577107,87,21896,87,21896,14134,455923,59.25,95.64,1258750,"54,866,865 ","13,016,480 ","7,603,980 ","13,550,729 ","10,384,579 ","10,311,095 ","24,979,628 ","19,422,067 ","17,517,767 ","10,770,455 ","8,212,635 ","3,178,589 ","17,323,744 ","23,289,207 ","39,659,019 ","4,392,476 ","7,806,263 ",0,186941,1661529
01/04/2004,229061,2836014,285,90.53,33.38,2910103,2524568,34,75,65,47,7046,3411,1848,?,33.295,33.416,36.75,59871,17178,35575,0.0,125101.7,127761000,39360243,25086927,22942196,4554026,9801965,4251749,2228155,0,1559267,18391418,2844959,1452344,21008961,17239594,2609790,1159577,1647078,87,21895,87,21895,13746,458185,59.58,95.47,1231408,"58,208,886 ","16,268,879 ","7,441,441 ","13,677,637 ","10,186,878 ","10,634,052 ","26,108,867 ","20,463,744 ","18,760,200 ","10,738,383 ","8,064,987 ","3,197,140 ","17,357,019 ","24,364,815 ","39,889,231 ","4,587,274 ","8,327,028 ",0,204572,1766588
01/05/2004,232293,2836014,285,90.45,33.38,2910103,2524568,34,75,65,47,7134,3411,1848,?,33.319,33.44,40.28,67476,15437,31140,0.0,125101.7,127761000,29799184,15057585,16082133,2761283,2084650,6479157,4678367,0,295606,5269749,3205450,434500,22482691,18741698,2590443,1150550,1601889,87,21733,87,21733,14162,456843,59.11,94.59,1246099,"61,407,207 ","16,645,420 ","7,913,049 ","14,776,805 ","10,911,735 ","11,160,198 ","26,512,447 ","21,131,216 ","19,780,867 ","11,278,441 ","7,738,457 ","3,345,435 ","18,027,402 ","24,927,444 ","40,000,936 ","4,462,807 ","7,723,273 ",0,206219,1863274
01/06/2004,258861,2836014,285,90.66,33.38,2910103,2524568,34,75,65,47,6909,3411,1848,?,33.703,33.825,38.03,71116,16888,41792,0.0,125101.7,127761000,38712257,36986001,21950258,4706673,40608066,8160475,2620377,0,631442,18007607,4783432,22438936,21967283,18312115,2597455,1057713,1849062,87,21527,87,21527,12937,431245,59.76,95.67,1227724,"59,448,823 ","14,520,831 ","7,840,677 ","14,671,188 ","10,871,441 ","11,544,686 ","26,709,682 ","21,228,784 ","19,878,581 ","11,188,135 ","7,556,191 ","3,185,672 ","17,233,840 ","25,811,864 ","41,873,108 ","4,327,816 ","7,576,334 ",0,199837,1829617
01/07/2004,243396,2964819,285,91.7,33.98,3047436,2650555,34,75,65,47,7240,3411,1848,?,34.067,34.191,40.78,71843,17996,37199,-0.1,123083.3,127761000,42048773,29236650,44863281,5104886,25172251,7533555,2396862,0,791813,8807701,9500366,8745027,24022957,20065952,2838447,1118558,2064517,86,21407,86,21407,14272,460398,66.3,94.37,1396317,"61,689,505 ","15,216,868 ","8,276,022 ","15,537,573 ","10,752,485 ","11,906,558 ","27,059,528 ","21,397,173 ","20,524,308 ","11,046,237 ","8,121,682 ","3,309,760 ","17,999,446 ","26,848,158 ","39,672,642 ","4,447,570 ","7,401,881 ",0,211867,1985400
01/08/2004,253544,2964819,285,91.34,33.98,3047436,2650555,34,75,65,47,6980,3411,1848,?,33.987,34.105,44.9,78056,20027,42699,-0.1,123083.3,127761000,43220042,20772762,41893694,4984680,4712044,11698957,4666295,0,1644873,7576570,5760927,19178162,23142751,19288586,2765713,1088451,2020880,86,21407,86,21407,14398,464465,64.9,94.72,1369646,"65,345,284 ","15,643,836 ","9,139,350 ","15,692,058 ","13,287,842 ","11,582,198 ","26,885,701 ","20,977,599 ","19,856,868 ","11,365,236 ","7,872,771 ","2,985,488 ","17,903,690 ","25,202,611 ","31,062,673 ","4,619,656 ","8,187,887 ",0,202988,1882966
01/09/2004,245915,2964819,285,91.83,33.98,3047436,2650555,34,75,65,47,6902,3411,1848,?,33.915,34.033,45.94,87635,16630,34255,0.0,123083.3,127761000,46706346,32853289,22203434,7245017,3321052,14703699,2485320,0,1235828,7789829,19673180,18917467,20823410,17125752,2545047,1152612,1731753,86,21424,86,21424,14017,467222,62.76,94,1294903,"60,298,789 ","13,490,380 ","9,744,781 ","14,482,743 ","10,778,373 ","11,802,512 ","27,466,124 ","20,765,716 ","20,422,792 ","11,583,244 ","8,966,378 ","3,008,636 ","17,463,433 ","26,608,869 ","28,515,233 ","4,425,408 ","8,158,938 ",0,180687,1647810
01/10/2004,266590,3026592,285,92.13,32.94,3125033,2729476,34,75,65,47,6936,3411,1848,?,33.354,33.483,53.28,89145,17908,35728,0.0,131583.9,127761000,40761446,25093452,21032715,5638378,1291194,10805317,2799832,0,1628831,6041713,8524189,369386,21858377,18276865,2412937,1168575,1818865,87,21735,87,21735,14490,467430,61.57,94.79,1269412,"65,362,039 ","20,922,223 ","8,128,889 ","14,537,492 ","10,813,841 ","10,959,595 ","26,853,072 ","21,541,492 ","21,197,068 ","11,203,088 ","9,386,398 ","3,249,315 ","18,073,027 ","27,531,134 ","31,948,828 ","4,626,657 ","8,428,406 ",0,186591,1685540
01/11/2004,270553,3026592,285,90.95,32.94,3125033,2729476,34,75,65,47,6803,3411,1848,?,32.11,32.25,48.47,92944,18712,28813,+0.1,131583.9,127761000,41188406,32571907,21759732,6288961,3208811,15658766,5085377,0,1823131,6434175,10566544,48101923,21317435,17731357,2471816,1114263,1666101,87,21744,87,21744,14293,476436,62.34,95.31,1259770,"63,179,548 ","20,024,299 ","8,433,707 ","13,918,079 ","9,803,997 ","10,999,465 ","25,930,253 ","20,326,289 ","20,890,052 ","11,458,470 ","9,102,995 ","3,285,343 ","17,864,853 ","26,735,931 ","33,801,820 ","4,685,372 ","8,737,896 ",0,196894,1648825
01/12/2004,276680,3026592,285,91.01,32.94,3125033,2729476,34,75,65,47,6900,3411,1848,?,31.583,31.96,43.15,87357,18542,37114,+0.1,131583.9,127761000,47377217,53834724,26105505,10621721,6913857,13023456,4451013,0,2311903,13798724,16696234,58161302,22777240,19003965,2606446,1166830,1673630,87,21744,87,21744,14556,469548,60.91,95.03,1283942,"64,519,629 ","19,609,104 ","8,680,567 ","14,134,091 ","10,680,603 ","11,415,264 ","26,376,945 ","21,397,674 ","23,104,341 ","12,424,801 ","9,579,784 ","3,262,924 ","18,402,262 ","30,410,774 ","31,672,408 ","4,753,857 ","9,627,723 ",0,213415,1607858
01/01/2005,244252,2901189,301,90.7,31.54,3008924,2591926,38,80,72,43,7118,3565,1893,?,31.683,31.834,46.84,88570,12200,23422,0.0,122991.9,127773000,82468323,20904515,32464503,4688031,69781643,19911250,7149795,0,610838,2648321,100376443,4749066,25885850,22160845,2535398,1189606,1594440,87,21744,87,21744,13697,441836,64.12,95.82,1337164,"66,175,213 ","19,357,869 ","9,178,880 ","13,861,292 ","12,979,093 ","10,798,078 ","25,386,344 ","23,320,737 ","23,299,474 ","11,717,464 ","9,088,671 ","3,586,886 ","18,019,944 ","29,976,903 ","46,983,588 ","4,465,577 ","10,209,995 ",0,222808,1511209
01/02/2005,257340,2901189,301,91.3,31.54,3008924,2591926,38,80,72,43,5445,3565,1893,?,31.089,31.217,48.15,82041,13491,39945,+0.1,122991.9,127773000,29535065,14180676,39973778,3625247,3795331,13206087,3132932,409402,856351,9161324,2169959,-464103,25212279,21593465,2607634,1011180,1859650,87,21744,87,21744,13663,487955,61.5,94.64,1241079,"66,553,408 ","20,205,422 ","8,596,058 ","14,078,029 ","12,912,807 ","10,761,093 ","25,635,265 ","20,832,503 ","21,311,135 ","10,568,081 ","8,163,809 ","2,678,836 ","15,913,413 ","27,246,086 ","30,651,327 ","4,355,930 ","7,248,541 ",0,175093,1613688
01/03/2005,298282,2901189,301,91.56,31.54,3008924,2591926,38,80,72,43,6876,3565,1893,?,31.433,31.57,54.19,103305,15455,41747,+0.1,122991.9,127773000,37908903,18939807,24128524,5241058,6940760,14183534,2441803,560742,1444301,13019225,8336429,12664853,22365251,18675693,2598036,1091522,1730327,87,21701,87,21701,14476,466964,63.59,95.31,1306624,"56,262,340 ","14,314,735 ","8,170,255 ","14,085,282 ","9,615,734 ","10,076,334 ","25,998,160 ","19,465,331 ","20,843,458 ","12,427,106 ","8,192,563 ","3,066,484 ","19,100,421 ","28,375,420 ","41,376,916 ","4,739,854 ","9,649,235 ",0,218690,1540969
01/04/2005,269513,2889085,301,92.02,31.4,2958382,2544059,38,80,72,43,7106,3565,1893,?,31.187,31.317,52.98,88510,15081,30623,+0.1,125546.3,127773000,38307055,30226896,23080912,5405199,5721902,2258649,2139665,1332865,1713261,14134246,2726210,4277348,22422945,18739761,2584332,1098852,1862882,87,21700,87,21700,14502,483413,64.77,94.09,1321791,"58,971,219 ","16,435,706 ","8,080,242 ","14,651,054 ","9,582,021 ","10,222,195 ","26,894,831 ","20,721,751 ","20,887,508 ","11,043,667 ","8,308,399 ","3,250,844 ","19,041,078 ","27,346,764 ","40,706,405 ","4,730,336 ","10,056,317 ",0,205712,1676944
01/05/2005,284049,2889085,301,92.53,31.4,2958382,2544059,38,80,72,43,7252,3565,1893,?,31.279,31.402,49.83,89398,15358,37458,+0.1,125546.3,127773000,41343633,21388673,26039458,4555845,2807567,5954971,4789668,2034489,821367,10199022,5550841,8967861,24315284,20448589,2679181,1187514,1880903,88,21898,88,21898,14379,463842,62.25,93.69,1297412,"60,932,206 ","16,076,477 ","7,869,358 ","16,465,097 ","10,300,964 ","10,220,310 ","28,646,949 ","20,212,794 ","20,662,263 ","10,828,659 ","7,760,483 ","3,339,956 ","19,814,372 ","26,564,035 ","43,930,411 ","4,678,216 ","9,561,982 ",0,210982,1762453
